accession,label,group,has_location_note,incorrect_repeats,mean_confidence,predicted_labels
Q9H992,Cytoplasm,Q9H992__13ede07b938652cb,False,2,0.892015968301902,Nucleus;Nucleus
Q7L7X3,Cytoplasm,Q7L7X3__3d64f6b2108bdd70,False,2,0.8894158700712775,Nucleus;Nucleus
Q9UEW3,Membrane,Q9UEW3__bcf51406980c5262,False,2,0.8807274335230817,Nucleus;Nucleus
Q6UXH8,Secreted,Q6UXH8__c738c4f6263e3025,False,2,0.8738817544719693,Nucleus;Nucleus
P26373,Cytoplasm,P26373__b9355759f0965942,False,2,0.873870774031053,Mitochondrion;Mitochondrion
P01023,Secreted,A8K2U0__e302d6ce0e1ee9a5,False,2,0.8709310794024369,Membrane;Membrane
L0R819,Cytoplasm,L0R819__f4b69ce365944e09,False,2,0.8688497963196096,Nucleus;Nucleus
Q96A72,Nucleus,Q96A72__32d4fce015474411,False,2,0.8677913202222778,Cytoplasm;Cytoplasm
Q9C0B0,Cytoplasm,Q9C0B0__f06d0cd8d61e3f90,False,2,0.8663242048528225,Nucleus;Nucleus
Q9UBP9,Cytoplasm,Q9UBP9__b1f42c3b928fde6a,True,2,0.8653294267797802,Nucleus;Nucleus
Q9P2A4,Cytoplasm,Q9P2A4__6a83d605096eb2b4,True,2,0.8646939515709227,Nucleus;Nucleus
A8K2U0,Secreted,A8K2U0__e302d6ce0e1ee9a5,False,2,0.8639269163157199,Membrane;Membrane
P80108,Secreted,P80108__dec71ab33eb3c59f,True,2,0.858959315201818,Membrane;Membrane
Q8N7J2,Membrane,Q8N7J2__e3fa3076e765a705,True,2,0.8580785137424609,Nucleus;Nucleus
P42695,Nucleus,P42695__b23ebd84353f8046,False,2,0.8556630458594117,Membrane;Membrane
Q8TAX7,Secreted,Q8TAX7__7215fa0efe73e3c3,False,2,0.8548981747589348,Nucleus;Nucleus
D3DTV9,Nucleus,D3DTV9__70f2af4926e90995,False,2,0.854152929305464,Mitochondrion;Mitochondrion
P13637,Membrane,P13637__28886d316e014e26,False,2,0.840731827540729,Cytoplasm;Cytoplasm
Q7L3V2,Mitochondrion,Q7L3V2__c764aa32c46a1ccf,False,2,0.8394141906022481,Nucleus;Nucleus
Q9BPZ3,Cytoplasm,Q9BPZ3__e5d64384095284f2,False,2,0.838056245193793,Nucleus;Nucleus
Q9Y2X0,Nucleus,Q9Y2X0__ea815bf7030a3a79,False,2,0.8371415453964042,Membrane;Membrane
Q9BSF0,Membrane,Q9BSF0__a348d2de4e595ce9,True,2,0.8364737077477608,Nucleus;Nucleus
Q8N8W4,Cytoplasm,Q8N8W4__62abe066c649b619,False,2,0.8330955137977253,Nucleus;Nucleus
Q8N5N4,Cytoplasm,Q8N5N4__c32daba1fc56a8b6,False,2,0.8283778182144328,Nucleus;Nucleus
Q8WXI8,Membrane,Q6EIG7__4332a5c8f8f77e85,False,2,0.8263052195915869,Secreted;Secreted
Q96E14,Nucleus,Q96E14__4fdcf8922d12a997,True,2,0.8257633551598567,Mitochondrion;Mitochondrion
Q16612,Cytoplasm,Q16612__52519716508b76bb,False,2,0.8240633640286052,Nucleus;Nucleus
O60609,Membrane,O60609__e39d40e7f64b1485,False,2,0.8234402730712066,Secreted;Secreted
Q9H788,Cytoplasm,Q9H788__522b884b7829c895,True,2,0.8193388644443914,Nucleus;Nucleus
Q9HBE4,Secreted,Q9HBE4__6207e57b8d77aca4,False,2,0.8152264710492936,Nucleus;Nucleus
Q8NFH8,Cytoplasm,Q8NFH8__d00e168508f52532,False,2,0.8151921043421078,Nucleus;Nucleus
Q9Y3D2,Mitochondrion,Q9Y3D2__6ec5f2922bc88e1b,False,2,0.8149878670281208,Secreted;Secreted
Q2L4Q9,Secreted,Q2L4Q9__1f9d424a9c45b643,False,2,0.8130842306667199,Membrane;Membrane
Q3SXM5,Mitochondrion,Q3SXM5__d39d7107fff5fe6a,False,2,0.8116917275927654,Membrane;Membrane
Q96CG3,Cytoplasm,Q96CG3__4830480ed5a5cf71,True,2,0.8110740189562355,Nucleus;Nucleus
Q9UKY0,Membrane,Q9UKY0__dd7bbce295edbc80,False,2,0.8103866787307983,Mitochondrion;Mitochondrion
O96013,Cytoplasm,O96013__261a58d7e60edfc0,True,2,0.810304086845576,Nucleus;Nucleus
Q96PC2,Cytoplasm,Q96PC2__1e701f49d8ee0a98,False,2,0.8073541709734982,Nucleus;Nucleus
Q14213,Secreted,Q14213__72a8a64abe37eef8,False,2,0.8067850542541475,Membrane;Membrane
P01266,Secreted,P01266__2af88bd53041f189,True,2,0.80617265966894,Membrane;Membrane
Q9BY66,Nucleus,P41229__2e18349d95d39c5d,False,2,0.8060563035787419,Cytoplasm;Cytoplasm
P0C7Q2,Cytoplasm,P0C7Q2__5d32508ddcf4602f,False,2,0.8058677494988064,Nucleus;Nucleus
P46776,Cytoplasm,P46776__fe8514c4123a0b58,False,2,0.7992868259249001,Mitochondrion;Mitochondrion
Q5TCY1,Cytoplasm,Q5TCY1__f4bd15ec11ba6693,False,2,0.7943377945938517,Nucleus;Nucleus
P33764,Cytoplasm,P33764__5b3f212a4523c4ec,False,2,0.7921219163471027,Secreted;Secreted
Q8IYR6,Membrane,Q8IYR6__c1422774c02bfbfb,False,2,0.7895618833005706,Secreted;Secreted
P26842,Membrane,P26842__7faacb066fc2b75d,False,2,0.7887002813792616,Secreted;Secreted
Q5TGI4,Cytoplasm,Q5TGI4__f39a81e32e044370,False,2,0.7878376653066773,Nucleus;Nucleus
Q96LB8,Secreted,Q96LB8__524cae95ca152ae1,False,2,0.7784079282655445,Membrane;Membrane
Q7Z6J8,Cytoplasm,Q7Z6J8__d86f31376041e9bd,False,2,0.7779352854274774,Membrane;Membrane
Q9UPX6,Membrane,Q9UPX6__8523aad1db5821ca,False,2,0.7737230028055533,Nucleus;Nucleus
Q9H1D9,Nucleus,Q9H1D9__fb08d1daace8f376,False,2,0.7719852231614237,Cytoplasm;Cytoplasm
Q9H425,Cytoplasm,Q9H425__d7ef281fa57d44ac,False,2,0.7693354349663397,Nucleus;Nucleus
P35573,Cytoplasm,P35573__21919ba4357d4650,True,2,0.7669324036469976,Membrane;Membrane
Q04323,Cytoplasm,Q04323__649a229eae921d74,False,2,0.7666012714013508,Nucleus;Nucleus
Q8N699,Nucleus,Q8N699__64c244fc6486f6d6,True,2,0.7665099482884316,Membrane;Membrane
Q6ZMJ4,Secreted,Q6ZMJ4__bc5417cc3c559a07,False,2,0.7649088411306385,Membrane;Membrane
Q96LB9,Secreted,Q96LB8__524cae95ca152ae1,False,2,0.7625722875047212,Membrane;Membrane
Q8IZP1,Membrane,Q8IZP1__61cc78e7b3950926,True,2,0.7591542744706077,Nucleus;Nucleus
P0DMR3,Cytoplasm,P0DMR3__2cde99d75b11b85e,False,2,0.7581779225881506,Nucleus;Nucleus
Q13310,Cytoplasm,Q13310__dcf99d01c44d827e,True,2,0.7573010045501545,Nucleus;Nucleus
P41229,Nucleus,P41229__2e18349d95d39c5d,False,2,0.755876673641046,Cytoplasm;Cytoplasm
Q14152,Cytoplasm,Q14152__797b6fb89ea94e5f,False,2,0.755413902202954,Nucleus;Nucleus
P11150,Secreted,P11150__70ef1ae8ca11b378,False,2,0.75358308054148,Membrane;Membrane
Q7Z6M4,Mitochondrion,Q7Z6M4__b7407fcfcc95b0e6,False,2,0.7523144381011959,Nucleus;Nucleus
P01040,Cytoplasm,P01040__9decfdfa3d49a084,False,2,0.7522970968862109,Nucleus;Nucleus
Q8N9W6,Cytoplasm,Q8N9W6__a74c98440a4762c4,False,2,0.7509057745585742,Nucleus;Nucleus
P60827,Secreted,P60827__8e232b1e5680f055,False,2,0.7494644417053737,Mitochondrion;Mitochondrion
B2RNN3,Secreted,B2RNN3__97a6998765fde318,True,2,0.7491917817593877,Nucleus;Nucleus
Q06141,Secreted,Q06141__77f442919756f70f,True,2,0.7487049023799416,Membrane;Membrane
P30273,Membrane,P30273__ea929f5e5df52078,False,2,0.7482738603412896,Secreted;Secreted
Q8TE67,Cytoplasm,Q8TE67__22e70882407d6762,False,2,0.748231372978295,Nucleus;Nucleus
Q9H8Y5,Cytoplasm,Q9H8Y5__05880331e5f61667,True,2,0.7463848318931621,Nucleus;Nucleus
O43182,Cytoplasm,O43182__586b46531b09a913,False,2,0.7405444132716997,Nucleus;Nucleus
Q15843,Nucleus,Q15843__1048fa6680328ac4,True,2,0.7393331444874175,Cytoplasm;Cytoplasm
Q9Y2I9,Membrane,Q9Y2I9__34486dd14429d088,False,2,0.7367561827020865,Nucleus;Nucleus
Q9UBG3,Cytoplasm,Q9UBG3__479f1aecb40c2336,True,2,0.7365833859751881,Nucleus;Nucleus
P54826,Membrane,P54826__0ba36c3a46153403,False,2,0.7342655780333971,Secreted;Secreted
Q969U6,Cytoplasm,Q969U6__186ba4a1e791f110,False,2,0.7332434389149187,Membrane;Membrane
Q9HB96,Nucleus,Q9HB96__c280cf7895b9da57,False,2,0.7323359542575927,Cytoplasm;Cytoplasm
Q9Y6H5,Cytoplasm,Q9Y6H5__e56da16b8752e259,True,2,0.7321050512774243,Nucleus;Nucleus
Q6UVW9,Membrane,Q6UVW9__5031898492e06f80,False,2,0.7307513226255988,Secreted;Secreted
Q8TDY4,Cytoplasm,Q8TDY4__3168be8d61d65bbb,False,2,0.7286310875722295,Nucleus;Nucleus
Q16543,Cytoplasm,Q16543__e0a1e3bbc5ec7fb1,False,2,0.7272985136370649,Nucleus;Nucleus
O43525,Membrane,O43525__8af289bc930940c4,False,2,0.7261756741170757,Nucleus;Nucleus
Q7Z7K0,Mitochondrion,Q7Z7K0__c6d74afd291f0b6e,True,2,0.7258131633144558,Nucleus;Nucleus
Q14680,Membrane,Q14680__aad72692f5e6e292,False,2,0.7223308918239499,Nucleus;Nucleus
O43290,Nucleus,O43290__1176aed00c6c3022,True,2,0.7222140410353115,Cytoplasm;Cytoplasm
P52435,Nucleus,P52435__7186201b62e96b64,False,2,0.7193795313926437,Cytoplasm;Cytoplasm
Q9Y2M0,Nucleus,Q9Y2M0__8dff2f4b2c93d988,True,2,0.7192095955672024,Cytoplasm;Cytoplasm
Q9BV86,Nucleus,Q9BV86__f54299310ebc450d,True,2,0.7179280830641346,Cytoplasm;Cytoplasm
Q4VXU2,Cytoplasm,Q13310__dcf99d01c44d827e,False,2,0.7164598144127508,Nucleus;Nucleus
O14654,Membrane,O14654__d2d6aca1f8ca4ced,False,2,0.7154013182626544,Nucleus;Nucleus
Q9Y471,Cytoplasm,Q9Y471__d0c0a32ba2f58b1e,True,2,0.7126107479885881,Membrane;Membrane
Q8NEX9,Cytoplasm,Q8NEX9__778f19f03c72a93d,True,2,0.712498961995863,Membrane;Membrane
P48061,Secreted,P48061__97c345aa7c221c00,False,2,0.7107219513392382,Mitochondrion;Mitochondrion
P55000,Secreted,P55000__1ed5dbcca3376bd8,False,2,0.7073087853208505,Membrane;Membrane
Q9NUD5,Cytoplasm,Q9NUD5__8124c27df3a80cb5,False,2,0.7064967930420618,Nucleus;Nucleus
P52565,Cytoplasm,P52565__fff4642ce787c71b,False,2,0.7057248714160169,Nucleus;Nucleus
Q15173,Cytoplasm,Q15173__43867d2f4672d155,False,2,0.705636304924229,Mitochondrion;Mitochondrion
P11597,Secreted,P11597__bd8e45b1aef9315c,True,2,0.7051020878191334,Membrane;Membrane
Q9BQ69,Nucleus,Q9BQ69__090cb87ee8a74cb5,True,2,0.7041708029904592,Mitochondrion;Mitochondrion
Q9UH17,Nucleus,Q9UH17__8ab445022825f739,False,2,0.7034843795911454,Membrane;Membrane
Q8WUY3,Cytoplasm,Q8WUY3__87e33c55065a2899,False,2,0.7025979818638303,Nucleus;Nucleus
P42574,Cytoplasm,P42574__81962b47787bfaba,False,2,0.7020220200638974,Nucleus;Nucleus
P16233,Secreted,P11150__70ef1ae8ca11b378,False,2,0.6997265652447875,Membrane;Membrane
Q5T653,Mitochondrion,Q5T653__bc87ed01f43457fe,False,2,0.6994634812323091,Secreted;Secreted
Q8NEG4,Membrane,Q8NEG4__81d9ad1f1ccf1365,False,2,0.6994243675079985,Nucleus;Nucleus
O00161,Membrane,O00161__13489fea8e3f7bbb,False,2,0.6986345203172126,Nucleus;Nucleus
Q96K76,Cytoplasm,Q96K76__bf37e091c497bfce,False,2,0.6981196816749634,Nucleus;Nucleus
Q9BQN1,Cytoplasm,Q9BQN1__b8fc88486b12f43f,True,2,0.6934154810209288,Nucleus;Nucleus
Q5T7N3,Cytoplasm,Q5T7N3__0739b6966d803dce,False,2,0.6933816832460376,Nucleus;Nucleus
Q5MJ68,Cytoplasm,Q5MJ68__b3e6fe9ba7fa2c0d,True,2,0.6922870856349673,Nucleus;Nucleus
Q15327,Nucleus,Q15327__dea24673aa78e2ac,False,2,0.6912320026242473,Cytoplasm;Cytoplasm
Q6GTX8,Membrane,Q6GTX8__71f0bb8e2e876e82,False,2,0.690653697361022,Nucleus;Nucleus
Q9NPI8,Nucleus,Q9NPI8__0b82b1e9c0971a1c,False,2,0.6906342017239531,Mitochondrion;Mitochondrion
Q5VZE5,Cytoplasm,Q5VZE5__6f3a2b5ecb18f4c7,False,2,0.6902940078497137,Nucleus;Nucleus
Q6ZMR3,Cytoplasm,Q6ZMR3__f514e0ff3450dba1,False,2,0.6900388714588123,Membrane;Membrane
Q8TE68,Cytoplasm,Q8TE67__22e70882407d6762,False,2,0.6895118526244058,Nucleus;Nucleus
O95867,Membrane,O95867__338f0a8d67b499dd,False,2,0.6893428369132293,Secreted;Secreted
Q86XT9,Membrane,Q86XT9__ab5104865c330bee,False,2,0.6891052527146118,Secreted;Secreted
P50914,Cytoplasm,P50914__2f26259a08c5abee,False,2,0.6868533890839468,Mitochondrion;Mitochondrion
Q7L3B6,Cytoplasm,Q7L3B6__f21153d61901c525,False,2,0.6862148375179093,Nucleus;Nucleus
O95777,Nucleus,O95777__7da3a9cc9349e850,False,2,0.6803617699747,Cytoplasm;Cytoplasm
Q504U0,Cytoplasm,Q504U0__10356d17dabcad81,False,2,0.6776139264143377,Nucleus;Nucleus
Q9Y3Q4,Membrane,Q9Y3Q4__9c3188b073b9e98d,False,2,0.6772284176364595,Nucleus;Nucleus
Q86V24,Membrane,Q86V24__4e83b8de9debe8a2,True,2,0.6756697141277034,Cytoplasm;Cytoplasm
Q8N1E6,Cytoplasm,Q8N1E6__13950f2cf7969683,False,2,0.6735608539109272,Membrane;Membrane
O94804,Membrane,O94804__9283e9c3163756a2,False,2,0.6735010122458057,Nucleus;Nucleus
Q5VYS8,Cytoplasm,Q5VYS8__c86266cbe482b3e1,True,2,0.6711836079496891,Nucleus;Nucleus
Q8IWV1,Membrane,Q8IWV1__4275d83ccd347db9,False,2,0.6677592722158823,Nucleus;Nucleus
Q9Y3P8,Membrane,Q9Y3P8__dbb309718d4f4db4,False,2,0.6615044339418181,Secreted;Secreted
Q8N183,Mitochondrion,Q8N183__11c727dec3b99dd0,False,2,0.6593622709392526,Nucleus;Nucleus
Q6KF10,Secreted,Q6KF10__73f870c569d62821,False,2,0.6587596215001268,Nucleus;Nucleus
Q9H4Q4,Nucleus,Q9H4Q4__61349407c2abe016,False,2,0.6573990558823226,Membrane;Membrane
P02724,Membrane,P02724__a38ca934dffb4f58,True,2,0.6571003696046321,Nucleus;Nucleus
P57723,Cytoplasm,P57723__d351538c74d855b7,False,2,0.6561060386772242,Membrane;Membrane
Q9Y5X9,Secreted,P11150__70ef1ae8ca11b378,False,2,0.6559791391634278,Membrane;Membrane
O00481,Membrane,O00478__15475cf4e0aca2b7,False,2,0.6557304290994814,Secreted;Secreted
Q9NPY3,Membrane,Q9NPY3__fac2de51fa92d97a,False,2,0.6545314219499424,Secreted;Secreted
Q02543,Cytoplasm,Q02543__fa89343d8267f41b,False,2,0.654510955642548,Mitochondrion;Mitochondrion
P35998,Cytoplasm,P35998__9049600747f3ac2f,True,2,0.6545059250802338,Nucleus;Nucleus
A9QM74,Nucleus,A9QM74__d1485d3f5c1e4a54,False,2,0.6542217855885191,Cytoplasm;Cytoplasm
Q9Y2L9,Cytoplasm,Q9Y2L9__88dc96c8f9e11e6e,False,2,0.6529750861860142,Nucleus;Nucleus
Q9BQ83,Nucleus,Q9BQ83__9a8b8d185d4bd22e,False,2,0.6529121823373163,Mitochondrion;Mitochondrion
Q9BRQ5,Membrane,Q96SN7__37972edaf1f9ac21,True,2,0.647925418406758,Cytoplasm;Cytoplasm
Q9UHJ3,Nucleus,Q5VUG0__5da9b83525bc40d1,False,2,0.6478429933133828,Cytoplasm;Cytoplasm
Q3Y452,Cytoplasm,Q3Y452__f8dbb9434f744dac,False,2,0.6469675329224125,Nucleus;Nucleus
Q8IWT3,Cytoplasm,Q8IWT3__d6925cf18d76f136,False,2,0.6467952521312308,Nucleus;Nucleus
P51813,Cytoplasm,P51813__20a66d0cd8a39ed5,True,2,0.6464053825112828,Nucleus;Nucleus
Q9Y4K4,Cytoplasm,Q9Y4K4__a7eb891318c7b005,False,2,0.6435459234798433,Nucleus;Nucleus
A0A455ZAR2,Nucleus,A0A455ZAR2__43fa6fb09e945e8c,False,2,0.6429885383632356,Secreted;Secreted
Q96L08,Membrane,Q96L08__e19d141c0ec24c88,True,2,0.6429877974289429,Mitochondrion;Mitochondrion
Q9ULR0,Nucleus,Q9ULR0__00169eaf649dfc91,False,2,0.6426809925587116,Cytoplasm;Cytoplasm
Q9GZP4,Cytoplasm,Q9GZP4__6b46783b9d0999f3,False,2,0.6414391941023442,Nucleus;Nucleus
O75150,Nucleus,O75150__d7822af1f78a01cd,False,2,0.6413462675559694,Cytoplasm;Cytoplasm
Q9NRD1,Cytoplasm,Q9H4M3__a4baedd67a28a81d,False,2,0.64053541840757,Secreted;Secreted
Q8IUW5,Membrane,Q8IUW5__b95c6c90b61d7776,False,2,0.6378963756386555,Nucleus;Nucleus
Q9Y2E5,Secreted,Q9Y2E5__f3f5f49fa4a5255c,False,2,0.6369868849025898,Membrane;Membrane
Q2M3C7,Cytoplasm,Q2M3C7__131159d5d05c7d66,True,2,0.636744900162366,Nucleus;Nucleus
Q8IUH2,Secreted,Q8IUH2__35926dfd4de99257,False,2,0.6365528341936909,Mitochondrion;Mitochondrion
Q6NUP7,Cytoplasm,Q6NUP7__95f220a7d22f19d4,False,2,0.6364780211178427,Nucleus;Nucleus
P58557,Nucleus,P58557__8390de8f74c676ed,False,2,0.6359971035460472,Cytoplasm;Cytoplasm
Q9HBL7,Membrane,Q9HBL7__2b6b548714e39d77,True,2,0.6349017762502348,Nucleus;Nucleus
Q96DB2,Nucleus,Q96DB2__65581bd1ddc53f13,False,2,0.6342029955965687,Cytoplasm;Cytoplasm
O75563,Cytoplasm,O75563__6c7995a9ca23c11b,False,2,0.631949543052217,Nucleus;Nucleus
Q6GPH6,Membrane,Q6GPH6__c783fd9deb5ffeeb,False,2,0.6318726775990415,Cytoplasm;Cytoplasm
Q96LA8,Nucleus,Q96LA8__94749bfca734a91a,False,2,0.6318664086019233,Cytoplasm;Cytoplasm
P10644,Membrane,P10644__9e2103c22e85013c,False,2,0.6312748480100774,Cytoplasm;Cytoplasm
O96020,Nucleus,O96020__06a577daa4cba0a3,False,2,0.630578418214475,Cytoplasm;Cytoplasm
Q8N8R7,Cytoplasm,Q8N8R7__25dce8b7e4935f22,False,2,0.6301821664304645,Nucleus;Nucleus
Q8NC24,Membrane,Q8NC24__e267f3d07488f16e,False,2,0.6294386369837794,Nucleus;Nucleus
Q5K651,Cytoplasm,Q5K651__a4322e5b82d1677b,False,2,0.6275688149271733,Nucleus;Nucleus
Q3SXM0,Cytoplasm,Q3SXM0__b0f44a0e884149f9,False,2,0.6268482886853552,Membrane;Membrane
A8MUP2,Mitochondrion,A8MUP2__d1a2b9b28414f694,False,2,0.6261180139193643,Secreted;Secreted
Q13285,Nucleus,Q13285__22862e50ee7a8ac6,False,2,0.6260563960297868,Cytoplasm;Cytoplasm
Q9H2E6,Membrane,Q9H2E6__73456a93d9c91b01,False,2,0.6249116837550507,Nucleus;Nucleus
A2A3N6,Cytoplasm,A2A3N6__437f95c276f56f7c,False,2,0.6248126926669483,Nucleus;Nucleus
P13693,Cytoplasm,P13693__9b5443243bb94144,False,2,0.6231860866292974,Nucleus;Nucleus
P35218,Mitochondrion,P22748__62f5e1881b0efc28,False,2,0.6225960734208006,Membrane;Membrane
O15266,Nucleus,O15266__9141af5415a88422,False,2,0.6221508758443206,Cytoplasm;Cytoplasm
Q96GA3,Cytoplasm,Q96GA3__77f6d045203ba0af,True,2,0.6208671091529231,Nucleus;Nucleus
Q96NN9,Mitochondrion,Q96NN9__811dd8e56a71a816,True,2,0.6192844422702155,Cytoplasm;Cytoplasm
P83110,Secreted,P83110__ee7938fcf38aa4bc,True,2,0.6186191161507713,Membrane;Membrane
Q96DX5,Mitochondrion,Q96DX5__ee08ee5b7b6cd3f8,False,2,0.6155665158202848,Cytoplasm;Cytoplasm
Q15147,Membrane,Q15147__c153ead9ae509100,False,2,0.6144083729617471,Nucleus;Nucleus
Q6IB77,Mitochondrion,Q6IB77__28c763fb9ad66207,False,2,0.6129331927768848,Secreted;Secreted
Q9Y535,Nucleus,Q9Y535__2238aede09bf48a6,False,2,0.6117255329770315,Cytoplasm;Membrane
Q13007,Secreted,Q13007__3af25cde2f87b830,False,2,0.6104698875648578,Mitochondrion;Mitochondrion
Q8IU80,Membrane,Q8IU80__2e8dbcaee122b217,True,2,0.6101914292087793,Cytoplasm;Cytoplasm
Q6PEY1,Membrane,Q6PEY1__6635ce524d515b30,False,2,0.6093905370194883,Secreted;Secreted
Q8WU08,Membrane,Q8WU08__583697c38823cc92,False,2,0.6073076725538262,Nucleus;Cytoplasm
P43626,Membrane,P43626__ee148c74eb46d498,False,2,0.6041039661326115,Secreted;Secreted
Q96GM5,Nucleus,Q6STE5__7b49ceef71c89aef,False,2,0.6036582655888885,Mitochondrion;Mitochondrion
P62910,Cytoplasm,P62910__9dee3c52cc2816b3,False,2,0.6034131248145101,Mitochondrion;Mitochondrion
Q96JB8,Cytoplasm,Q96JB8__53c83c59d152cb66,True,2,0.6018605240937404,Nucleus;Nucleus
Q9H6S1,Cytoplasm,Q9H6S1__eb386a1ca1d9bd02,False,2,0.6017881960786322,Nucleus;Nucleus
Q9Y5R4,Mitochondrion,Q9Y5R4__0007113a4f2cc16f,False,2,0.6006135192732737,Membrane;Membrane
Q9BW66,Nucleus,Q9BW66__33fdabf6577e0153,True,2,0.5984074455325035,Cytoplasm;Cytoplasm
Q13185,Nucleus,P83916__5cf91f43af5d1678,True,2,0.5978656408568301,Cytoplasm;Cytoplasm
Q13536,Nucleus,Q13536__3a16e5ad805ff7a3,True,2,0.597375211975226,Secreted;Secreted
Q8WUN7,Cytoplasm,Q8WUN7__7cc304f0824a1ea0,False,2,0.5961518677238806,Nucleus;Nucleus
Q969J5,Secreted,Q969J5__32941c68f8149bc9,False,2,0.5944218264397555,Membrane;Membrane
Q96IJ6,Cytoplasm,Q96IJ6__0519dfa64eaa9452,True,2,0.5942357584481267,Membrane;Membrane
Q8TC90,Nucleus,Q8TC90__0fad498bab283d13,True,2,0.5938125525884498,Mitochondrion;Mitochondrion
P54315,Secreted,P11150__70ef1ae8ca11b378,False,2,0.592323187527751,Membrane;Membrane
Q13733,Membrane,P13637__28886d316e014e26,True,2,0.592155679277848,Cytoplasm;Cytoplasm
Q8IYJ3,Membrane,Q8IYJ3__ba4e1cf80bce4ff0,True,2,0.5918224604472495,Nucleus;Nucleus
C9JR72,Cytoplasm,C9JR72__662b07f6b347a61f,False,2,0.5912490611944246,Membrane;Membrane
Q8NHJ6,Membrane,Q8NHJ6__10162695b38f8fa4,True,2,0.5900168313914926,Nucleus;Nucleus
Q9NRL2,Nucleus,Q9NRL2__8bfb026cca112636,True,2,0.589917598638099,Cytoplasm;Cytoplasm
Q9UPQ3,Cytoplasm,Q96P47__730ecd6fed3c96b7,True,2,0.5888032665124283,Nucleus;Nucleus
P63092,Membrane,A8MTJ3__69d69c3bddc7e9c1,True,2,0.587947598333381,Cytoplasm;Cytoplasm
P02671,Secreted,P02671__362bf6ebe743cfe8,False,2,0.5872543174504263,Nucleus;Nucleus
P19835,Secreted,P19835__25b1dff52f51dbb2,False,2,0.5863769567685939,Membrane;Membrane
Q8NEL9,Cytoplasm,Q8NEL9__cb2b4600f53f48a1,False,2,0.5853540474799219,Nucleus;Nucleus
Q9BYK8,Cytoplasm,Q9BYK8__b85ba91739e1a383,False,2,0.5807895456523454,Membrane;Membrane
Q9P0J1,Mitochondrion,Q9P0J1__46a9ad82147836d7,False,2,0.5795323250018984,Cytoplasm;Cytoplasm
Q9BV44,Cytoplasm,Q9BV44__1fb73430dd0eb582,False,2,0.5789535933309768,Nucleus;Nucleus
O43692,Secreted,O43692__26d730260aaa4440,False,2,0.5788957340352671,Membrane;Membrane
